Table 1
Spanish-English Corpus (Only lines with Possessive Determiners)																									
	Total Source Corpus: Europarl Spanish (1000 sentences)																								
15	"Lady President, the presentation of the political program of the Commission *Prodi for all the term of office was initially a proposal of the Group of the Party of the European Socialists that attained the unanimity of the Conference of Presidents in September and also the explicit acceptance of the President *Prodi, that reasserted his commitment in his speech of investiture."	"Lady President, the presentation of the political program of the Commission *Prodi for all the term of office was initially a proposal of the Group of the Party of the European Socialists that attained the unanimity of the Conference of Presidents in September and also the explicit acceptance of the President *Prodi, that reasserted his commitment in his speech of investiture."																							
16	"Memory besides, lady President, that this Parliament voted in two occasions in the anterior term of office his confidence in the President *Prodi; in this term of office voted it again in July and afterwards, with the new Commission in functions, went back in September to give him a vote of confidence to all the Commission."	"Memory besides, lady President, that this Parliament voted in two occasions in the anterior term of office his confidence in the President *Prodi; in this term of office voted it again in July and afterwards, with the new Commission in functions, went back in September to give him a vote of confidence to all the Commission."																							
17	"Therefore, already there has been sufficient time so that the Commission prepare his program and so that we can know it and can explain it to the citizens."	"Therefore, already there has been sufficient time so that the Commission prepare his program and so that we can know it and can explain it to the citizens."																							
18	"According to words of his President, is in conditions to do it."	"According to words of their President, is in conditions to do it."																							
19	"Since the Commission is represented by the Vice-president, Mrs. of Palace, think that before voting would be convenient to know the situation of the Commission in relation with his availability to present the program, such as it had suited ); or the Parliament is not in conditions to examine this program, as it looks that they pretend some."	"Since the Commission is represented by the Vice-president, Mrs. of Palace, think that before voting would be convenient to know the situation of the Commission in relation with his availability to present the program, such as it had suited ); or the Parliament is not in conditions to examine this program, as it looks that they pretend some."																							
20	"In my opinion, this second hypothesis would mean to do *dejación of our responsibilities like Parliament, in addition to entering an original thesis, a consistent unknown method in giving to know to the political groups by writing the speech *programático of the Commission a week before -and no the day before, as it had suited -, #take that the legislative program will argue  in February, in such a way that we could dispense of the debate, because the next day the press and Internet would have given it to know to all the citizens and the Parliament would not have already why occupy of the subject."	"In my opinion, this second hypothesis would mean to do *dejación of our responsibilities like Parliament, in addition to entering an original thesis, a consistent unknown method in giving to know to the political groups by writing the speech *programático of the Commission a week before -and no the day before, as it had suited -, #take that the legislative program will argue  in February, in such a way that we could dispense of the debate, because the next day the press and Internet would have given it to know to all the citizens and the Parliament would not have already why occupy of the subject."																							
21	"As my Group thinks that a Parliament is done to listen, to debate and for *reflexionar, think that there is not reason some that justify this postponement and think that if, the Commission is in conditions to do it, are perfectly to time to be able to reestablish the original agreement among the Parliament and the Commission and proceed with responsibility in front of our *conciudadanas and our *conciudadanos."	"As my Group thinks that a Parliament is done to listen, to debate and for *reflexionar, think that there is not reason some that justify this postponement and think that if, the Commission is in conditions to do it, are perfectly to time to be able to reestablish the original agreement among the Parliament and the Commission and proceed with responsibility in front of our *conciudadanas and our *conciudadanos."																							
22	"Therefore, the proposal that does the Group of the Party of the European Socialists and that his *Señoría has mentioned is that the Wednesday maintain  the presentation of the program of term of office of the Commission *Prodi, including inside this program also the project of administrative reform because, of not being like this, can find us with a paradoxical situation: with the excuse that there is not text, denies  by a part the right to the President of the Commission to speak in this Parliament and, on the other hand, that take place a debate on the reform without that this Parliament know previously the texts in that it bases ."	"Therefore, the proposal that does the Group of the Party of the European Socialists and that his *Señoría has mentioned is that the Wednesday maintain  the presentation of the program of term of office of the Commission *Prodi, including inside this program also the project of administrative reform because, of not being like this, can find us with a paradoxical situation: with the excuse that there is not text, denies  by a part the right to the President of the Commission to speak in this Parliament and, on the other hand, that take place a debate on the reform without that this Parliament know previously the texts in that it bases ."																							
23	". Lady President, want to leave very clear that, first of all, the Commission has the maximum respect by the decisions of this Parliament and, among them, the one to establish his agenda."	". Lady President, want to leave very clear that, first of all, the Commission has the maximum respect by the decisions of this Parliament and, among them, the one to establish his agenda."																							
24	I propose that we vote the request of the Group of the Party of the European Socialists to go back to include the statement of the Commission on his strategic aims.	I propose that we vote the request of the Group of the Party of the European Socialists to go back to include the statement of the Commission on his strategic aims.																							
25	"They have said me that also wide circles of the Socialist Group see willingly the suppression of this point in the order of the day, since in the vote *habida in the Conference of Presidents was missing the vote of the group of competent work for this of our pals of the Socialist Group."	"They have said me that also wide circles of the Socialist Group see willingly the suppression of this point in the order of the day, since in the vote *habida in the Conference of Presidents was missing the vote of the group of competent work for this of our pals of the Socialist Group."																							
26	"Therefore, my Group requests that it suppress  this point of the day."	"Therefore, my Group requests that it suppress  this point of the day."																							
27	"We have argued, we express unanimity, with exception of the Groups of the *PPE and of the European Party of the Liberal Democrats and Reformist, and I same did to note -as they will remember it my wanted mates presidents- that does not treat  to know if they are you in favour or against of the tax *Todin, but to know if they dare to comprise what think in this regard the Commission and the Council."	"We have argued, we express unanimity, with exception of the Groups of the *PPE and of the European Party of the Liberal Democrats and Reformist, and I same did to note -as they will remember it my wanted mates presidents- that does not treat  to know if they are you in favour or against of the tax *Todin, but to know if they dare to comprise what think in this regard the Commission and the Council."																							
28	"Lady President, has  *contabilizado my vote, that has not been able to be made electronically, because I do not have the card?"	"Lady President, has  *contabilizado my vote, that has not been able to be made electronically, because I do not have the card?"																							
29	"My vote was ""in favour"" ."	"My vote was ""in favour"" ."																							
30	"Lady President, in the anterior vote -and will abide by me his decision in this subject- on the question of the strategic plan of the Commission, indicated that it would have liked me speak before the vote for my Group."	"Lady President, in the anterior vote -and will abide by me their decision in this subject- on the question of the strategic plan of the Commission, indicated that it would have liked me speak before the vote for my Group."																							
31	"It would appreciate him that, to the closing of this point, allowed me  give an explanation of the vote for my Group."	"It would appreciate him that, to the closing of this point, allowed me  give an explanation of the vote for my Group."																							
32	It would be useful that the record of the Camera registered how perceives the people what have done to the light of his own political analyses.	It would be useful that the record of the Camera registered how perceives the people what have done to the light of his own political analyses.																							
33	"Lady President, do not wish to restart the debate, but had asked also the word to give my opinion about the amendment of the Mr. Baron *Crespo."	"Lady President, do not wish to restart the debate, but had asked also the word to give my opinion about the amendment of the Mr. Baron *Crespo."																							
34	"When tomorrow it treat  the approval of the Record of the session of today, if His *Señorías estimate that the positions have not explained  the quite well, will be able to ask modifications."	"When tomorrow it treat  the approval of the Record of the session of today, if His *Señorías estimate that the positions have not explained  the quite well, will be able to ask modifications."																							
35	"Lady President, if in the register of the vote states correctly how has voted my Group, neither want to neither can pose objection any."	"Lady President, if in the register of the vote states correctly how has voted my Group, neither want to neither can pose objection any."																							
36	"If his decision is that we can not explain our vote, will observe it, but no wholehearted."	"If his decision is that we can not explain our vote, will observe it, but no wholehearted."																							
37	I consider that they have had  satisfactorily in account our amendments of the first reading.	I consider that they have had  satisfactorily in account our amendments of the first reading.																							
38	In determinate locations of my country produced  really a chaotic situation.	In determinate locations of my country produced  really a chaotic situation.																							
39	"Also we have to procure consistently that our aims are incorporated to the national legislations by the States members in the terms fixed and, even more important, have to procure that afterwards they are spent to the practice."	"Also we have to procure consistently that our aims are incorporated to the national legislations by the States members in the terms fixed and, even more important, have to procure that afterwards they are spent to the practice."																							
40	"The report treats of the question to harmonise the requirements of examination for the advisers of security that exert his task in the field of the transport of dangerous commodities by road, roads *férreas and fluvial roads."	"The report treats of the question to harmonise the requirements of examination for the advisers of security that exert his task in the field of the transport of dangerous commodities by road, roads *férreas and fluvial roads."																							
41	I congratulate him by his excellent report.	I congratulate him by his excellent report.																							
42	"The speaker has signalled to the Camera that the Council has accepted in his common position six of the ten parliamentary amendments presented in first reading, and that has #take the essence of the others amendments of the Parliament."	"The speaker has signalled to the Camera that the Council has accepted in his common position six of the ten parliamentary amendments presented in first reading, and that has #take the essence of the others amendments of the Parliament."																							
43	"Therefore, my Group goes to lean this common position and wait that adopt  a legislation that provide us another tool in our fight for augmenting all the possible the security of the transport in the European Union."	"Therefore, my Group goes to lean this common position and wait that adopt  a legislation that provide us another tool in our fight for augmenting all the possible the security of the transport in the European Union."																							
44	When it treats  of security my Group always will lean initiatives that augment the security in the transport.	When it treats  of security my Group always will lean initiatives that augment the security in the transport.																							
45	"In the first place, I want to appreciate to the speaker his extraordinarily precise and technical work in this report, and second, want to appreciate to the Commission the proposal that has presented."	"In the first place, I want to appreciate to the speaker his extraordinarily precise and technical work in this report, and second, want to appreciate to the Commission the proposal that has presented."																							
46	"I gladden me that there is also an agreement with the Council on the minimum requirements for his examination, although it had preferred that they had created  some fixed and uniform norms, so that the certificates were equal from the international point of view."	"I gladden me that there is also an agreement with the Council on the minimum requirements for his examination, although it had preferred that they had created  some fixed and uniform norms, so that the certificates were equal from the international point of view."																							
47	"Gentleman President, lady Commissioner, estimated pals, first of all, wanted to congratulate to our pal, the Mr. *Koch, by his reports, which perhaps are technical reports, but *revisten a big importance for the security."	"Gentleman President, lady Commissioner, estimated pals, first of all, wanted to congratulate to our pal, the Mr. *Koch, by his reports, which perhaps are technical reports, but *revisten a big importance for the security."																							
48	"In the first place, I want to ask to the Mrs. Commissioner -and am sure that my desire falls in fertile soil- that devote a main attention to the question of the security, was this in road, in railway or in the fluvial roads."	"In the first place, I want to ask to the Mrs. Commissioner -and am sure that my desire falls in fertile soil- that devote a main attention to the question of the security, was this in road, in railway or in the fluvial roads."																							
49	"The third point has been mentioned also: the same that our pal, the Mr. *Rack, proceed of a country of traffic in which this question exerts a special paper."	"The third point has been mentioned also: the same that our pal, the Mr. *Rack, proceed of a country of traffic in which this question exerts a special paper."																							
50	". Gentleman President, in the first place want to congratulate to the speaker, Mr. *Koch, by his glorious work and by his positive collaboration with the Commission to the hour to improve the texts, to present this report and this proposal; at the end, only there is a relative amendment to the requirements of the examination of aptitude of the advisers of security for the transport of dangerous commodities by road, railway or navigable road."	". Gentleman President, in the first place want to congratulate to the speaker, Mr. *Koch, by his glorious work and by his positive collaboration with the Commission to the hour to improve the texts, to present this report and this proposal; at the end, only there is a relative amendment to the requirements of the examination of aptitude of the advisers of security for the transport of dangerous commodities by road, railway or navigable road."																							
51	"*Brevísimamente, want to appreciate also the intervention of the distinct deputies and say them to his *Señorías that the security is a priority of the Commission in the field of the transports."	"*Brevísimamente, want to appreciate also the intervention of the distinct deputies and say them to his *Señorías that the security is a priority of the Commission in the field of the transports."																							
52	"In this sense, want to refer me also very in brief to the problems of the tunnels, to that have done reference the Gentlemen *Rack and Swoboda, that, undoubtedly, in the case of Austria, is a very sensitive subject, by what it is necessary to do endeavours to see how increase his security."	"In this sense, want to refer me also very in brief to the problems of the tunnels, to that have done reference the Gentlemen *Rack and Swoboda, that, undoubtedly, in the case of Austria, is a very sensitive subject, by what it is necessary to do endeavours to see how increase their security."																							
53	"I want to reassert my gratitude to all those that have taken part and very especially to the speaker, Mr. *Koch."	"I want to reassert my gratitude to all those that have taken part and very especially to the speaker, Mr. *Koch."																							
54	"I regret this, as we have to act because others have not made his work."	"I regret this, as we have to act because others have not made their work."																							
55	"The inactivity of the European Union would oblige to the States members to modify his juridical norms *intraestatales for a short period of time, in concrete, until the conclusion of the works of the *CEN, which originates costs and unnecessary insecurities."	"The inactivity of the European Union would oblige to the States members to modify his juridical norms *intraestatales for a short period of time, in concrete, until the conclusion of the works of the *CEN, which originates costs and unnecessary insecurities."																							
56	"A last amendment goes directed to *propiciar that follow  authorising the utilisation of the tanks and vehicles *cisterna that have gone in into use among 1 January 1997 and the entrance in force of this directive, if his construction and maintenance adjust  to the willing."	"A last amendment goes directed to *propiciar that follow  authorising the utilisation of the tanks and vehicles *cisterna that have gone in into use among 1 January 1997 and the entrance in force of this directive, if his construction and maintenance adjust  to the willing."																							
57	"Conscious also that this is not more than a small step to a main security, ask them to you his compliance for the present report."	"Conscious also that this is not more than a small step to a main security, ask them to you his compliance for the present report."																							
58	"It is well that adopt  this directive now because, of the contrary, the States members would see  obliged to modify his national legislations for a very brief term, for a period of transition, thing that, to his time, only would originate unnecessary costs and would augment once again the *quebraderos of head of the citizens in front of the bureaucracy of the EU."	"It is well that adopt  this directive now because, of the contrary, the States members would see  obliged to modify his national legislations for a very brief term, for a period of transition, thing that, to his time, only would originate unnecessary costs and would augment once again the *quebraderos of head of the citizens in front of the bureaucracy of the EU."																							
59	"Like this then , I proposed some amendments to the splendid report of my pal, the Mr. *Koch, that were approved by our parliamentary commission."	"Like this then , I proposed some amendments to the splendid report of my pal, the Mr. *Koch, that were approved by our parliamentary commission."																							
60	My amendments refer  to the resistance to the low temperatures of the deposits of transport of these dangerous commodities.	My amendments refer  to the resistance to the low temperatures of the deposits of transport of these dangerous commodities.																							
61	I expect that my proposal was taken in account in the vote of morning.	I expect that my proposal was taken in account in the vote of morning.																							
62	"Gentleman President, if it allows it to me, wanted to manifest him first of all my respect by the form in that you has #carry the agile change in the Presidency during the debate."	"Gentleman President, if it allows it to me, wanted to manifest him first of all my respect by the form in that you has #carry the agile change in the Presidency during the debate."																							
63	"For this reason, it does not remain us more than expecting -and would have to decide this in this week- that in the 2001 have, at last, of community regulations for the transport of dangerous commodities by road, so that in this point have a bit of juridical security and also a bit more than security in our roads."	"For this reason, it does not remain us more than expecting -and would have to decide this in this week- that in the 2001 have, at last, of community regulations for the transport of dangerous commodities by road, so that in this point have a bit of juridical security and also a bit more than security in our roads."																							
64	"Gentleman President, no only want to thank our pal, the Mr. *Koch, but also to the Vice-president of the Commission for having  pronounced with so much clarity and without equivocal in favour of the security in the field of the transport and in favour of the priority of the security."	"Gentleman President, no only want to thank our pal, the Mr. *Koch, but also to the Vice-president of the Commission for having  pronounced with so much clarity and without equivocal in favour of the security in the field of the transport and in favour of the priority of the security."																							
65	The Mr. *Koch has drafted his good report because in the *CEN and also in the frame of the Commission of Economy of the United Nations has not done  the work of way so *expeditiva.	The Mr. *Koch has drafted his good report because in the *CEN and also in the frame of the Commission of Economy of the United Nations has not done  the work of way so *expeditiva.																							
66	". Gentleman President, again reassert my congratulation to the Mr. *Koch by his work in east another report, that somehow comes to complete the debate that had in the month of October on the transport by railway."	". Gentleman President, again reassert my congratulation to the Mr. *Koch by his work in east another report, that somehow comes to complete the debate that had in the month of October on the transport by railway."																							
67	This debate and the modification of the directive at present in force allow us incorporate differential facts that speak of the diversity of our Europe.	This debate and the modification of the directive at present in force allow us incorporate differential facts that speak of the diversity of our Europe.																							
68	"I want to say, with regard to the manifested by the Mr. Swoboda regarding the activity of the *CEN, that are *urgiéndoles to that they accelerate to the maximum his work because it would be dramatic that, in spite of the new term, found us inside a year and beak in front of the same difficulties by not to have it concluded."	"I want to say, with regard to the manifested by the Mr. Swoboda regarding the activity of the *CEN, that are *urgiéndoles to that they accelerate to the maximum his work because it would be dramatic that, in spite of the new term, found us inside a year and beak in front of the same difficulties by not to have it concluded."																							
69	". Of compliance with the agenda proceeds  to the debate of the report (*A5-0108/1999) of the Mrs. *Schroedter, for the Commission of Regional Politics, Transports and Tourism, on the Communication of the relative Commission to the structural Funds and his coordination with the Cohesion fund: guidelines for the programs of the period 2000-2006 (*COM(1999)344 - *C5-0122/1999- 1999/2127(*COS))."	". Of compliance with the agenda proceeds  to the debate of the report (*A5-0108/1999) of the Mrs. *Schroedter, for the Commission of Regional Politics, Transports and Tourism, on the Communication of the relative Commission to the structural Funds and their coordination with the Cohesion fund: guidelines for the programs of the period 2000-2006 (*COM(1999)344 - *C5-0122/1999- 1999/2127(*COS))."																							
70	"Gentleman President, is me particularly *grato that my first intervention in the European Parliament touch a question that has considered  of the maximum importance for the part of the United Kingdom that represent in this Parliament, to know, Wales."	"Gentleman President, is me particularly *grato that my first intervention in the European Parliament touch a question that has considered  of the maximum importance for the part of the United Kingdom that represent in this Parliament, to know, Wales."																							
71	"Gentleman President, our commission treats these subjects from very diverse points of view, and, in the first place, will speak from the point of view of the investigation."	"Gentleman President, our commission treats these subjects from very diverse points of view, and, in the first place, will speak from the point of view of the investigation."																							
72	"We consider that it is very positive that the speaker of opinion have incorporated to his own conclusions the proposal of our commission on the need that, in the included countries in the cohesion, expand  the infrastructure of the investigation *emplazando to the Upper Schools and other centres of formation of such way, that loan a better service to the inhabitants of the less developed zones and facilitate the permanence of the qualified people in his zones of origin."	"We consider that it is very positive that the speaker of opinion have incorporated to his own conclusions the proposal of our commission on the need that, in the included countries in the cohesion, expand  the infrastructure of the investigation *emplazando to the Upper Schools and other centres of formation of such way, that loan a better service to the inhabitants of the less developed zones and facilitate the permanence of the qualified people in his zones of origin."																							
73	"Another subject to the that wanted to loan our attention, especially from the point of view of the industrial politics, is that we had wanted to that, to the hour to schedule the coordination of the Cohesion fund and of the Structural Funds, the Commission had taken more in account the effects of the growth of the services, of the e-commerce and of the use of internet."	"Another subject to the that wanted to loan our attention, especially from the point of view of the industrial politics, is that we had wanted to that, to the hour to schedule the coordination of the Cohesion fund and of the Structural Funds, the Commission had taken more in account the effects of the growth of the services, of the e-commerce and of the use of internet."																							
74	"Finally, we had wished, in our quality of Commission of Energy, that had highlighted  more the need to subsidise the renewable energies with the Cohesion fund and with the structural Funds, and like this had been able to  increase, applying the coordination of both Funds, the use of the renewable energies, so that the lack of financial resources of the energetic program had seen  compensated by means of the concession of these considerable economic helps."	"Finally, we had wished, in our quality of Commission of Energy, that had highlighted  more the need to subsidise the renewable energies with the Cohesion fund and with the structural Funds, and like this had been able to  increase, applying the coordination of both Funds, the use of the renewable energies, so that the lack of financial resources of the energetic program had seen  compensated by means of the concession of these considerable economic helps."																							
75	"Gentleman President, wanted to express my deep gratitude to the Mr. *Schroedter by his contribution to this question and for explaining to the pals that am speaking for my pal, the Mr. *Flautre, that it *sucedió in the Commission of Use and Social Affairs but that unfortunately is ailing."	"Gentleman President, wanted to express my deep gratitude to the Mr. *Schroedter by his contribution to this question and for explaining to the pals that am speaking for my pal, the Mr. *Flautre, that it *sucedió in the Commission of Use and Social Affairs but that unfortunately is ailing."																							
76	We expect that those that are considering to refuse these amendments offer to the Parliament and to the citizens of his countries that look for employ reasons very powerful to do it.	We expect that those that are considering to refuse these amendments offer to the Parliament and to the citizens of their countries that look for employ reasons very powerful to do it.																							
77	"The Mr. *Flautre underlined in his report an area in which the coordination shines by his absence, although it needs  *imperiosamente."	"The Mr. *Flautre underlined in his report an area in which the coordination shines by his absence, although it needs  *imperiosamente."																							
78	"Besides, the three fourth parts of our agriculturalists are it part time and need *complementos effective to his incomes."	"Besides, the three fourth parts of our agriculturalists are it part time and need *complementos effective to their incomes."																							
79	"It is important to prevail general criteria of ordination of the territory and of populational balance, and #take the conclusions to which the Commission of Agriculture and Rural Development has arrived in five fundamental appearances, that have been collected only partly by the Commission of Transports, Regional Politics and Tourism in his points 16 and 17."	"It is important to prevail general criteria of ordination of the territory and of populational balance, and #take the conclusions to which the Commission of Agriculture and Rural Development has arrived in five fundamental appearances, that have been collected only partly by the Commission of Transports, Regional Politics and Tourism in their points 16 and 17."																							
80	"Gentleman President, gentleman Commissioner, wanted pals, I wanted to begin my intervention appreciating the work that has done the Mrs. *Schroedter, speaker."	"Gentleman President, gentleman Commissioner, wanted pals, I wanted to begin my intervention appreciating the work that has done the Mrs. *Schroedter, speaker."																							
81	"And besides, also I want to him appreciate his will of dialogue with the rest of the political groups to the hour to arrive to formulas of commitment in front of this avalanche of amendments, perhaps more than which expected , but that really answer to the importance of the report of the that are speaking."	"And besides, also I want to him appreciate his will of dialogue with the rest of the political groups to the hour to arrive to formulas of commitment in front of this avalanche of amendments, perhaps more than which expected , but that really answer to the importance of the report of the that are speaking."																							
82	"For us it is important that the conclusions that approve  in this Parliament are #take by the Commission, like minimum in his spirit, because to the height in that we are could look that we are doing here an useless exercise, purely rhetorical."	"For us it is important that the conclusions that approve  in this Parliament are #take by the Commission, like minimum in their spirit, because to the height in that we are could look that we are doing here an useless exercise, purely rhetorical."																							
83	"In our amendments have fixed the importance that for us has the one who produce  the necessary synergies among the structural Funds, the Cohesion fund and the community initiatives, so that his application see  reflected of optimum way, of the most profitable way, in the progressive elimination of inequalities among regions and in the creation of places of work that, in definite, are the two fundamental purposes of the funds of which are speaking."	"In our amendments have fixed the importance that for us has the one who produce  the necessary synergies among the structural Funds, the Cohesion fund and the community initiatives, so that their application see  reflected of optimum way, of the most profitable way, in the progressive elimination of inequalities among regions and in the creation of places of work that, in definite, are the two fundamental purposes of the funds of which are speaking."																							
84	"If it is not like this, if the employers feel  *marginados, if the employers can not take part, do not say already only in the management, but in the reception of these funds, will have lost an opportunity to achieve our aims of way faster."	"If it is not like this, if the employers feel  *marginados, if the employers can not take part, do not say already only in the management, but in the reception of these funds, will have lost an opportunity to achieve our aims of way faster."																							
85	"Also, to achieve our aims, to achieve surpass the inequalities among regions and look for sources of use is important to bet *decididamente by the new technologies, by the nets of transports and of communications and by the renewable energies."	"Also, to achieve our aims, to achieve surpass the inequalities among regions and look for sources of use is important to bet *decididamente by the new technologies, by the nets of transports and of communications and by the renewable energies."																							
86	"And all this -insist- with the participation of the private company that, joining his endeavours to the of the public administrations, complementing and never obstructing or excluding, is the one who will create social wealth and places of work."	"And all this -insist- with the participation of the private company that, joining his endeavours to the of the public administrations, complementing and never obstructing or excluding, is the one who will create social wealth and places of work."																							
87	"Gentleman President, is of my *incumbencia remember to my pal the Mr. Evans the reason by which Wales has attained in reality the status of Aim I. It is due to the discredited political of his own Conservative Party."	"Gentleman President, is of my *incumbencia remember to my pal the Mr. Evans the reason by which Wales has attained in reality the status of Aim I. It is due to the discredited political of his own Conservative Party."																							
88	"Leave me remember him also that when the leader of his party, the Mr. *Hague, went Secretary of State for Wales raped all the articles of the book of *adicionalidad, something that *propició a severe card of the Commissioner *Wulf-*Mathies around the requirements *regulatorios."	"Leave me remember him also that when the leader of his party, the Mr. *Hague, went Secretary of State for Wales raped all the articles of the book of *adicionalidad, something that *propició a severe card of the Commissioner *Wulf-*Mathies around the requirements *regulatorios."																							
89	My Group has done important amendments to the two reports that debate  today.	My Group has done important amendments to the two reports that debate  today.																							
90	It is important to identify the capacities and the potential of our regions in the sector of tall technology.	It is important to identify the capacities and the potential of our regions in the sector of tall technology.																							
91	"The conclusion is that we have to do upsetting in that the guidelines are general, clear and flexible so that they can help to the agents of the programs and to the users of the funds and #take the potential maximum of our new fields of regeneration."	"The conclusion is that we have to do upsetting in that the guidelines are general, clear and flexible so that they can help to the agents of the programs and to the users of the funds and #take the potential maximum of our new fields of regeneration."																							
92	"If we can *inculcar a spirit of business activity in our poor regions and *estructuralmente feeble, will situate them in the long run on the way to attract the confidence of the investors, something that will be the key of the future success."	"If we can *inculcar a spirit of business activity in our poor regions and *estructuralmente feeble, will situate them in the long run on the way to attract the confidence of the investors, something that will be the key of the future success."																							
93	"It is as well as we go to judge the success of these guidelines: #depend if the regional politics of the EU, with good guidelines, solid and *capacitadoras, can open new opportunities and allow to our poor regions and *estructuralmente feeble exert fully his paper in the growth and the prosperity of the EU."	"It is as well as we go to judge the success of these guidelines: #depend if the regional politics of the EU, with good guidelines, solid and *capacitadoras, can open new opportunities and allow to our poor regions and *estructuralmente feeble exert fully their paper in the growth and the prosperity of the EU."																							
94	"Gentleman President, gentleman Commissioner, distinguished pals, wanted to thank the Mrs. *Schroedter by his good report; she has applied  of full to the subject and has taken very well in account, during the work of the parliamentary commission, a lot of modifications that did  in this report."	"Gentleman President, gentleman Commissioner, distinguished pals, wanted to thank the Mrs. *Schroedter by his good report; she has applied  of full to the subject and has taken very well in account, during the work of the parliamentary commission, a lot of modifications that did  in this report."																							
95	"If we #take the phase of the period that live, the report has gone  expanding too much during his preparation."	"If we #take the phase of the period that live, the report has gone  expanding too much during his preparation."																							
96	Our Group stands out the principle of subsidiariness: the responsibility of the States members and the importance of the local agents in the preparation and execution of the programs.	Our Group stands out the principle of subsidiariness: the responsibility of the States members and the importance of the local agents in the preparation and execution of the programs.																							
97	"Our Group also considers very important that take  better in account the territories of *ultramar and the peripheral zones, and want to that it increase  the interaction among the cities and the rural zones."	"Our Group also considers very important that take  better in account the territories of *ultramar and the peripheral zones, and want to that it increase  the interaction among the cities and the rural zones."																							
98	This report is stupendous and has the support of our Group.	This report is stupendous and has the support of our Group.																							
